Problem_CUI,Rx_CUI,co_occurrance_probability
C0085605,C0875717,0.032679738562091505
C0036974,C0780681,0.032679738562091505
C0242656,C0875805,0.03258145363408522
C0003962,C1584819,0.03252032520325203
C0600688,C1951501,0.03247863247863248
C0022661,C0975350,0.03237095363079615
C0264490,C0875805,0.03225806451612904
C0751781,C0975752,0.032171581769437
C0022661,C0691839,0.03194444444444445
C0022661,C1169852,0.03193695562007466
C0011860,C0689843,0.03187613843351548
C0018926,C1584819,0.031775700934579446
C0001127,C0687773,0.031746031746031744
C0085605,C4083864,0.03173719376391983
C0018946,C0979504,0.03170409511228534
C0085605,C0875597,0.03155339805825243
C0022661,C4082775,0.03137789904502047
C0003811,C1951501,0.03137254901960784
C0085762,C0980635,0.03134796238244514
C0020517,C0875805,0.03131115459882584
C2830004,C1951501,0.03130755064456722
C3714514,C1951501,0.03125
C0085605,C1329857,0.03114754098360655
C0006114,C4082727,0.031135531135531136
C0019080,C1951501,0.0311284046692607
C0041948,C1951501,0.03112033195020747
C0600688,C0975752,0.03104212860310421
C0085605,C0939181,0.03076923076923077
C0302148,C2586911,0.03058823529411765
C0085437,C5201042,0.030588235294117642
C0085281,C0688559,0.030534351145038167
C0546817,C0939139,0.030470914127423827
C0340194,C0875805,0.030470914127423827
C0013404,C0875805,0.030373831775700938
C0021141,C0980228,0.03035714285714286
C0220983,C4082778,0.03035320088300221
C0036980,C0976530,0.030303030303030304
C0302148,C0689665,0.03025936599423631
C0600688,C0714340,0.030226700251889164
C0021400,C0975821,0.030120481927710847
C0085605,C0361231,0.03008849557522124
C0085605,C0980959,0.0299079754601227
C0009676,C1951501,0.029900332225913623
C0085605,C1813086,0.029850746268656712
C0206698,C0978650,0.02982456140350877
C0014544,C1739168,0.029797377830750895
C0014038,C5201042,0.029748283752860413
C0023882,C1951501,0.029723991507430995
C0022661,C4048507,0.029720279720279724
C0238052,C1584819,0.029574861367837334
C0546817,C0690128,0.029484029484029485
C0004604,C0875706,0.029445073612684034
C0206698,C2586911,0.029411764705882356
C0043144,C0690128,0.029411764705882356
C0085762,C0688562,0.029307731177362305
C0001127,C0875805,0.029279279279279282
C0019080,C0875805,0.029268292682926828
C1140999,C0875805,0.029255319148936174
C0038354,C1584819,0.029227557411273482
C0006266,C0974671,0.029197080291970802
C0021141,C0772979,0.029147982062780273
C0546817,C1951501,0.029069767441860468
C0024115,C0974671,0.029055690072639227
C0032227,C0689843,0.02897196261682243
C0015672,C0875805,0.028871391076115485
C0220983,C1329616,0.028871391076115485
C0003132,C1951501,0.028824833702882482
C0028961,C0974671,0.028824833702882482
C0023895,C1584819,0.028680688336520075
C0027651,C0690813,0.028673835125448025
C0020517,C0980402,0.028571428571428574
C0039239,C1951501,0.02857142857142857
C0001127,C1879045,0.028571428571428567
C0394996,C0688559,0.028517110266159697
C0220983,C0974671,0.02834008097165992
C0020598,C1951501,0.0282258064516129
C0037315,C1951501,0.02813852813852814
C0003578,C1951501,0.028112449799196786
C0034063,C0875805,0.02810304449648712
C0021400,C1329616,0.02803738317757009
C0018965,C1951501,0.027999999999999997
C0032227,C1329616,0.027918781725888325
C0039239,C0688559,0.027900146842878122
C0028961,C1329616,0.027816411682892908
C0600688,C1329616,0.02781289506953224
C0747752,C0688559,0.027777777777777783
C0009676,C0977343,0.027662517289073308
C0020517,C1951501,0.02764227642276423
C0264490,C0974671,0.027613412228796843
C0264490,C4048535,0.027513227513227514
C0038354,C0690395,0.027499999999999997
C0039239,C1329616,0.02746566791510612
C0403447,C1951501,0.027426160337552744
C0001125,C0875805,0.0273972602739726
C0020517,C4048535,0.02737603305785124
C0032227,C0978650,0.027375201288244767
C1321878,C0354080,0.02737047898338221
C0085762,C1584819,0.027322404371584702
C0085616,C0979504,0.027259684361549498
C0085631,C0688559,0.027257240204429302
C3714514,C0978650,0.02722323049001815
C0242656,C0974671,0.027210884353741496
C0020517,C0974671,0.027124773960217
C0012634,C0875805,0.027093596059113302
C0010200,C0975821,0.027027027027027025
C0017181,C1584819,0.026936026936026935
C0032227,C0974671,0.02692307692307692
C0011880,C0977809,0.02689180737961226
C0043144,C0875805,0.026845637583892613
C0041948,C0706911,0.026833631484794278
C0031106,C4048724,0.02681388012618297
C0015672,C1951501,0.026804123711340208
C1265876,C0875805,0.026763990267639905
C0020517,C0691089,0.026757188498402557
C0034065,C2241230,0.026717557251908396
C0013404,C0975821,0.026694045174537988
C0151799,C1951501,0.026666666666666665
C3714514,C0974671,0.026666666666666665
C0009676,C1584819,0.026604068857589987
C0043144,C0979757,0.026581118240146657
C0264490,C0939139,0.026570048309178744
C0039239,C0691089,0.026570048309178744
C0038454,C1329616,0.026525198938992044
C0009676,C0978650,0.0265210608424337
C0036572,C1329616,0.02642559109874826
C0013404,C0974670,0.026363636363636367
C0032227,C0976495,0.02631578947368421
C0003962,C0978650,0.02631578947368421
C1135191,C0693822,0.02622950819672131
C0745138,C0978059,0.026225769669327253
C0028778,C1951501,0.026217228464419474
C0011880,C0690075,0.026205450733752623
C2830004,C0689843,0.026188166828322014
C0014544,C0875827,0.026096033402922755
C0020258,C1951501,0.02608695652173913
C0022658,C0689665,0.026073619631901843
C0001122,C1951501,0.026
C0043144,C0689843,0.025986525505293546
C0085631,C1951501,0.02594810379241517
C0020517,C0973812,0.025943396226415092
C0040053,C1584819,0.02592592592592592
C0043144,C0974670,0.025915996425379808
C0220983,C0689843,0.025862068965517238
C0039239,C0689843,0.02585410895660203
